StockName,StockID
台泥,1101
亞泥,1102
嘉泥,1103
環泥,1104
建台,1107
幸福,1108
信大,1109
東泥,1110
味全,1201
味王,1203
大成,1210
大飲,1213
卜蜂,1215
統一,1216
愛之味,1217
泰山,1218
福壽,1219
台榮,1220
福懋油,1225
佳格,1227
聯華,1229
聯華食,1231
大統益,1232
天仁,1233
黑松,1234
興泰,1235
宏亞,1236
台塑,1301
南亞,1303
台聚,1304
華夏,1305
三芳,1307
亞聚,1308
臺達化,1309
台苯,1310
國喬,1312
聯成,1313
中石化,1314
達新,1315
上曜,1316
東陽,1319
大洋,1321
永裕,1323
地球,1324
恒大,1325
台化,1326
恩得利,1333
台翰,1336
遠東新,1402
新纖,1409
南染,1410
宏洲,1413
東和,1414
廣豐,1416
嘉裕,1417
東華,1418
新紡,1419
利華,1423
大魯閣,1432
福懋,1434
中福,1435
福益,1436
勤益,1437
裕豐,1438
中和,1439
南紡,1440
大東,1441
名軒,1442
立益,1443
力麗,1444
大宇,1445
宏和,1446
力鵬,1447
佳和,1449
年興,1451
宏益,1452
大將,1453
台富,1454
集盛,1455
怡華,1456
宜進,1457
聯發,1459
宏遠,1460
強盛,1463
得力,1464
偉全,1465
聚隆,1466
南緯,1467
昶和,1468
理隆,1469
大統染,1470
首利,1471
三洋纖,1472
台南,1473
弘裕,1474
本盟,1475
儒鴻,1476
聚陽,1477
士電,1503
東元,1504
正道,1506
永大,1507
瑞利,1512
中興電,1513
亞力,1514
力山,1515
川飛,1516
利奇,1517
華城,1519
大億,1521
堤維西,1522
開億,1523
耿鼎,1524
江申,1525
日馳,1526
鑽全,1527
恩德,1528
樂士,1529
亞崴,1530
高林股,1531
勤美,1532
車王電,1533
中宇,1535
和大,1536
廣隆,1537
正峰新,1538
巨庭,1539
喬福,1540
錩泰,1541
伸興,1558
中砂,1560
精華,1565
濱川,1569
力肯,1570
新麥,1580
信錦,1582
程泰,1583
精剛,1584
華電,1603
聲寶,1604
華新,1605
華榮,1608
大亞,1609
中電,1611
宏泰,1612
台一,1613
三洋電,1614
大山,1615
億泰,1616
榮星,1617
合機,1618
中化,1701
南僑,1702
榮化,1704
葡萄王,1707
東鹼,1708
和益,1709
東聯,1710
永光,1711
興農,1712
國化,1713
和桐,1714
亞化,1715
永信,1716
長興,1717
中纖,1718
生達,1720
三晃,1721
台肥,1722
中碳,1723
台硝,1724
元禎,1725
永記,1726
中華化,1727
必翔,1729
花仙子,1730
美吾華,1731
毛寶,1732
五鼎,1733
杏輝,1734
日勝化,1735
喬山,1736
臺鹽,1737
台蠟,1742
南光,1752
勝一,1773
生泰,1777
合世,1781
訊聯,1784
光洋科,1785
福盈科,1787
杏昌生技,1788
美時,1795
紅電醫,1799
台玻,1802
寶徠,1805
冠軍,1806
國賓環保,1808
中釉,1809
和成,1810
寶利徠,1813
富喬,1815
台紙,1902
士紙,1903
正隆,1904
華紙,1905
寶隆,1906
永豐餘,1907
榮成,1909
中鋼,2002
東鋼,2006
燁興,2007
高興昌,2008
第一銅,2009
春源,2010
春雨,2012
中鋼構,2013
中鴻,2014
豐興,2015
官田鋼,2017
美亞,2020
聚亨,2022
燁輝,2023
志聯,2024
千興,2025
大成鋼,2027
威致,2028
盛餘,2029
彰源,2030
新光鋼,2031
新鋼,2032
佳大,2033
允強,2034
唐榮公司,2035
海光,2038
上銀科技,2049
川湖,2059
橋椿,2062
南港,2101
泰豐,2102
台橡,2103
中橡,2104
正新,2105
建大,2106
厚生,2107
南帝,2108
華豐,2109
鑫永銓,2114
裕隆,2201
中華,2204
三陽,2206
和泰車,2207
台船,2208
大甲,2221
裕日車,2227
為升,2231
光寶科,2301
麗正,2302
聯電,2303
全友,2305
台達電,2308
日月光,2311
金寶,2312
華通,2313
台揚,2314
神達,2315
楠梓電,2316
鴻海,2317
東訊,2321
中環,2323
仁寶,2324
矽品,2325
國巨,2327
廣宇,2328
華泰,2329
台積電,2330
精英,2331
友訊,2332
旺宏,2337
光罩,2338
光磊,2340
英群,2341
茂矽,2342
華邦電,2344
智邦,2345
聯強,2347
力廣,2348
錸德,2349
順德,2351
佳世達,2352
宏碁,2353
鴻準,2354
敬鵬,2355
英業達,2356
華碩,2357
美格,2358
所羅門,2359
致茂,2360
鴻友,2361
藍天,2362
矽統,2363
倫飛,2364
昆盈,2365
燿華,2367
金像電,2368
菱生,2369
大同,2371
震旦行,2373
佳能,2374
智寶,2375
技嘉,2376
微星,2377
瑞昱,2379
虹光,2380
華宇光能,2381
廣達,2382
台光電,2383
勝華,2384
群光,2385
精元,2387
威盛,2388
云辰,2390
合勤,2391
正崴,2392
億光,2393
研華,2395
精碟,2396
友通,2397
映泰,2399
凌陽,2401
毅嘉,2402
友尚,2403
漢唐,2404
浩鑫,2405
國碩,2406
南科,2408
友達,2409
中華電,2412
環科,2413
精技,2414
錩新,2415
圓剛,2417
仲琦,2419
新巨,2420
建準,2421
固緯,2423
隴華,2424
承啟,2425
鼎元,2426
三商電,2427
興勤,2428
永兆,2429
燦坤,2430
聯昌,2431
互盛電,2433
統懋,2434
偉詮電,2436
旺詮,2437
英誌,2438
美律,2439
太空梭,2440
超豐,2441
新美齊,2442
新利虹,2443
友旺,2444
晶電,2448
京元電,2449
神腦,2450
創見,2451
凌群,2453
聯發科,2454
全新,2455
奇力新,2456
飛宏,2457
義隆,2458
敦吉,2459
建通,2460
光群雷,2461
良得電,2462
研揚,2463
盟立,2464
麗臺,2465
冠西電,2466
志聖,2467
華經,2468
資通,2471
立隆電,2472
思源,2473
可成,2474
華映,2475
鉅祥,2476
美隆電,2477
大毅,2478
敦陽科,2480
強茂,2481
連宇,2482
百容,2483
希華,2484
兆赫,2485
一詮,2486
漢平,2488
瑞軒,2489
吉祥全,2491
華新科,2492
揚博,2493
普安,2495
卓越,2496
怡利電,2497
宏達電,2498
東貝,2499
國建,2501
國產,2504
國揚,2505
太設,2506
全坤建,2509
太子,2511
龍邦國際,2514
中工,2515
新亞,2516
冠德,2520
京城,2524
宏璟,2527
皇普,2528
華建,2530
宏盛,2534
達工,2535
宏普,2536
聯上開發,2537
基泰,2538
櫻花建,2539
金尚昌,2540
興富發,2542
皇昌,2543
皇翔,2545
根基,2546
日勝,2547
華固,2548
綠意開發,2596
潤弘,2597
益航,2601
長榮,2603
新興,2605
裕民,2606
榮運,2607
大榮,2608
陽明,2609
華航,2610
志信,2611
中航,2612
中櫃,2613
東森,2614
萬海,2615
山隆,2616
台航,2617
長榮航,2618
台驊國際,2636
萬企,2701
華園,2702
國賓,2704
六福,2705
第一店,2706
晶華,2707
彰化銀行,2801
京城銀,2809
台中銀,2812
旺旺保,2816
華票,2820
中壽,2823
台產,2832
台壽保,2833
台企銀,2834
高銀,2836
萬泰銀,2837
聯邦銀,2838
台開,2841
遠東銀,2845
大眾銀,2847
安泰銀,2849
新產,2850
中再保,2851
